algoritmo,n_caracteres,tasa_error,repeticion,bits_datos,bits_trama,bits_volteados,resultado
hamming,4,0.001,0,32,48,0,exito
hamming,4,0.001,1,32,48,0,exito
hamming,4,0.001,2,32,48,0,exito
hamming,4,0.001,3,32,48,0,exito
hamming,4,0.001,4,32,48,0,exito
hamming,4,0.001,5,32,48,0,exito
hamming,4,0.001,6,32,48,0,exito
hamming,4,0.001,7,32,48,0,exito
hamming,4,0.001,8,32,48,0,exito
hamming,4,0.001,9,32,48,0,exito
hamming,4,0.001,10,32,48,1,exito
hamming,4,0.001,11,32,48,0,exito
hamming,4,0.001,12,32,48,0,exito
hamming,4,0.001,13,32,48,0,exito
hamming,4,0.001,14,32,48,0,exito
hamming,4,0.001,15,32,48,0,exito
hamming,4,0.001,16,32,48,0,exito
hamming,4,0.001,17,32,48,0,exito
hamming,4,0.001,18,32,48,0,exito
hamming,4,0.001,19,32,48,0,exito
hamming,4,0.001,20,32,48,0,exito
hamming,4,0.001,21,32,48,0,exito
hamming,4,0.001,22,32,48,0,exito
hamming,4,0.001,23,32,48,0,exito
hamming,4,0.001,24,32,48,0,exito
hamming,4,0.001,25,32,48,1,exito
hamming,4,0.001,26,32,48,0,exito
hamming,4,0.001,27,32,48,0,exito
hamming,4,0.001,28,32,48,0,exito
hamming,4,0.001,29,32,48,0,exito
hamming,4,0.001,30,32,48,0,exito
hamming,4,0.001,31,32,48,0,exito
hamming,4,0.001,32,32,48,0,exito
hamming,4,0.001,33,32,48,0,exito
hamming,4,0.001,34,32,48,0,exito
hamming,4,0.001,35,32,48,0,exito
hamming,4,0.001,36,32,48,0,exito
hamming,4,0.001,37,32,48,0,exito
hamming,4,0.001,38,32,48,0,exito
hamming,4,0.001,39,32,48,0,exito
hamming,4,0.001,40,32,48,0,exito
hamming,4,0.001,41,32,48,0,exito
hamming,4,0.001,42,32,48,0,exito
hamming,4,0.001,43,32,48,0,exito
hamming,4,0.001,44,32,48,0,exito
hamming,4,0.001,45,32,48,0,exito
hamming,4,0.001,46,32,48,0,exito
hamming,4,0.001,47,32,48,1,exito
hamming,4,0.001,48,32,48,0,exito
hamming,4,0.001,49,32,48,0,exito
hamming,4,0.001,50,32,48,0,exito
hamming,4,0.001,51,32,48,0,exito
hamming,4,0.001,52,32,48,0,exito
hamming,4,0.001,53,32,48,0,exito
hamming,4,0.001,54,32,48,0,exito
hamming,4,0.001,55,32,48,0,exito
hamming,4,0.001,56,32,48,0,exito
hamming,4,0.001,57,32,48,0,exito
hamming,4,0.001,58,32,48,0,exito
hamming,4,0.001,59,32,48,0,exito
hamming,4,0.001,60,32,48,0,exito
hamming,4,0.001,61,32,48,0,exito
hamming,4,0.001,62,32,48,0,exito
hamming,4,0.001,63,32,48,0,exito
hamming,4,0.001,64,32,48,0,exito
hamming,4,0.001,65,32,48,0,exito
hamming,4,0.001,66,32,48,0,exito
hamming,4,0.001,67,32,48,0,exito
hamming,4,0.001,68,32,48,0,exito
hamming,4,0.001,69,32,48,0,exito
hamming,4,0.001,70,32,48,0,exito
hamming,4,0.001,71,32,48,0,exito
hamming,4,0.001,72,32,48,0,exito
hamming,4,0.001,73,32,48,0,exito
hamming,4,0.001,74,32,48,0,exito
hamming,4,0.001,75,32,48,0,exito
hamming,4,0.001,76,32,48,0,exito
hamming,4,0.001,77,32,48,0,exito
hamming,4,0.001,78,32,48,0,exito
hamming,4,0.001,79,32,48,0,exito
hamming,4,0.001,80,32,48,0,exito
hamming,4,0.001,81,32,48,0,exito
hamming,4,0.001,82,32,48,0,exito
hamming,4,0.001,83,32,48,1,exito
hamming,4,0.001,84,32,48,0,exito
hamming,4,0.001,85,32,48,0,exito
hamming,4,0.001,86,32,48,0,exito
hamming,4,0.001,87,32,48,0,exito
hamming,4,0.001,88,32,48,0,exito
hamming,4,0.001,89,32,48,0,exito
hamming,4,0.001,90,32,48,0,exito
hamming,4,0.001,91,32,48,0,exito
hamming,4,0.001,92,32,48,0,exito
hamming,4,0.001,93,32,48,0,exito
hamming,4,0.001,94,32,48,0,exito
hamming,4,0.001,95,32,48,0,exito
hamming,4,0.001,96,32,48,0,exito
hamming,4,0.001,97,32,48,0,exito
hamming,4,0.001,98,32,48,0,exito
hamming,4,0.001,99,32,48,0,exito
hamming,4,0.001,100,32,48,0,exito
hamming,4,0.001,101,32,48,0,exito
hamming,4,0.001,102,32,48,0,exito
hamming,4,0.001,103,32,48,0,exito
hamming,4,0.001,104,32,48,0,exito
hamming,4,0.001,105,32,48,0,exito
hamming,4,0.001,106,32,48,0,exito
hamming,4,0.001,107,32,48,0,exito
hamming,4,0.001,108,32,48,0,exito
hamming,4,0.001,109,32,48,0,exito
hamming,4,0.001,110,32,48,0,exito
hamming,4,0.001,111,32,48,0,exito
hamming,4,0.001,112,32,48,0,exito
hamming,4,0.001,113,32,48,0,exito
hamming,4,0.001,114,32,48,0,exito
hamming,4,0.001,115,32,48,0,exito
hamming,4,0.001,116,32,48,0,exito
hamming,4,0.001,117,32,48,0,exito
hamming,4,0.001,118,32,48,0,exito
hamming,4,0.001,119,32,48,0,exito
hamming,4,0.001,120,32,48,0,exito
hamming,4,0.001,121,32,48,0,exito
hamming,4,0.001,122,32,48,0,exito
hamming,4,0.001,123,32,48,1,exito
hamming,4,0.001,124,32,48,0,exito
hamming,4,0.001,125,32,48,0,exito
hamming,4,0.001,126,32,48,0,exito
hamming,4,0.001,127,32,48,0,exito
hamming,4,0.001,128,32,48,0,exito
hamming,4,0.001,129,32,48,0,exito
hamming,4,0.001,130,32,48,0,exito
hamming,4,0.001,131,32,48,0,exito
hamming,4,0.001,132,32,48,0,exito
hamming,4,0.001,133,32,48,0,exito
hamming,4,0.001,134,32,48,0,exito
hamming,4,0.001,135,32,48,0,exito
hamming,4,0.001,136,32,48,0,exito
hamming,4,0.001,137,32,48,0,exito
hamming,4,0.001,138,32,48,0,exito
hamming,4,0.001,139,32,48,0,exito
hamming,4,0.001,140,32,48,0,exito
hamming,4,0.001,141,32,48,0,exito
hamming,4,0.001,142,32,48,0,exito
hamming,4,0.001,143,32,48,0,exito
hamming,4,0.001,144,32,48,0,exito
hamming,4,0.001,145,32,48,0,exito
hamming,4,0.001,146,32,48,0,exito
hamming,4,0.001,147,32,48,0,exito
hamming,4,0.001,148,32,48,1,exito
hamming,4,0.001,149,32,48,0,exito
hamming,4,0.001,150,32,48,0,exito
hamming,4,0.001,151,32,48,0,exito
hamming,4,0.001,152,32,48,0,exito
hamming,4,0.001,153,32,48,0,exito
hamming,4,0.001,154,32,48,0,exito
hamming,4,0.001,155,32,48,0,exito
hamming,4,0.001,156,32,48,0,exito
hamming,4,0.001,157,32,48,0,exito
hamming,4,0.001,158,32,48,0,exito
hamming,4,0.001,159,32,48,0,exito
